%LAMBDA nm	HbO2 1/(mm*uM)	Hb 1/(mm*uM)
400	61.9144	51.9293
401	64.0065	53.4284
402	66.0986	54.9274
403	68.9465	56.9251
404	71.7944	58.9228
405	77.0842	60.9205
406	82.3740	62.9181
407	90.2940	64.8726
408	98.2140	66.8270
409	103.3907	68.7572
410	108.5674	70.6874
411	112.4465	72.7093
412	116.3256	74.7312
413	119.1256	77.2023
414	121.9256	79.6735
415	121.6465	82.1447
416	121.3674	84.6158
417	120.6279	87.1544
418	119.8884	89.6930
419	115.8000	92.2372
420	111.7116	94.7814
421	106.0744	97.3767
422	100.4372	99.9721
423	93.9670	103.6140
424	87.4967	107.2558
425	81.6591	109.6558
426	75.8214	112.0558
427	70.8307	114.2651
428	65.8400	116.4744
429	61.5330	119.7023
430	57.2260	122.9302
431	53.5107	125.6698
432	49.7953	128.4093
433	44.1223	128.4093
434	38.4493	128.4093
435	34.6688	127.8140
436	30.8884	127.2186
437	29.2977	121.9302
438	27.7070	116.6419
439	25.7814	106.3767
440	23.8558	96.1116
441	22.7163	90.2930
442	21.5767	84.4744
443	20.2586	75.1121
444	18.9405	65.7498
445	18.3451	60.4591
446	17.7498	55.1684
447	16.6707	47.7377
448	15.5916	40.3070
449	15.1000	32.1642
450	14.6084	24.0214
451	14.1488	19.2944
452	13.6893	14.5674
453	13.0716	11.4895
454	12.4540	8.4116
455	11.9823	7.7754
456	11.5107	7.1393
457	11.2781	6.5797
458	11.0456	6.0201
459	10.6949	5.7297
460	10.3442	5.4393
461	9.9767	5.1488
462	9.6093	4.8584
463	9.4334	4.6688
464	9.2575	4.4793
465	8.9396	4.3492
466	8.6217	4.2192
467	8.3656	4.0893
468	8.1095	3.9594
469	7.9163	3.8584
470	7.7231	3.7573
471	7.5383	3.6589
472	7.3535	3.5605
473	7.1783	3.5300
474	7.0032	3.4996
475	6.8563	3.4699
476	6.7095	3.4402
477	6.5778	3.4244
478	6.4460	3.4087
479	6.3194	3.3962
480	6.1928	3.3837
481	6.0850	3.4222
482	5.9771	3.4607
483	5.9165	3.4993
484	5.8559	3.5378
485	5.7965	3.5763
486	5.7371	3.6148
487	5.6796	3.6560
488	5.6220	3.6972
489	5.5650	3.7886
490	5.5080	3.8800
491	5.4385	3.9713
492	5.3690	4.0627
493	5.2959	4.1541
494	5.2227	4.2455
495	5.1521	4.3368
496	5.0815	4.4282
497	5.0128	4.5270
498	4.9442	4.6259
499	4.9061	4.7387
500	4.8681	4.8516
501	4.8290	4.9645
502	4.7899	5.0774
503	4.7691	5.1903
504	4.7484	5.3032
505	4.6935	5.4160
506	4.6386	5.5289
507	4.6444	5.6418
508	4.6502	5.7547
509	4.6548	5.8743
510	4.6593	5.9939
511	4.6727	6.1291
512	4.6861	6.2644
513	4.7186	6.3996
514	4.7510	6.5349
515	4.8175	6.6701
516	4.8841	6.8054
517	5.0594	6.9407
518	5.2348	7.0759
519	5.4316	7.2112
520	5.6285	7.3464
521	5.8899	7.4931
522	6.1513	7.6398
523	6.4790	7.8196
524	6.8068	7.9994
525	7.1820	8.1793
526	7.5573	8.3591
527	7.9635	8.5388
528	8.3698	8.7186
529	8.8310	8.8984
530	9.2923	9.0782
531	9.7480	9.2582
532	10.2037	9.4381
533	10.5581	9.6130
534	10.9126	9.7879
535	11.2414	9.9628
536	11.5702	10.1377
537	11.7981	10.3121
538	12.0260	10.4865
539	12.2033	10.6609
540	12.3805	10.8353
541	12.3870	11.0163
542	12.3935	11.1972
543	12.2544	11.3786
544	12.1153	11.5600
545	11.8563	11.7414
546	11.5972	11.9228
547	11.2242	12.0656
548	10.8512	12.2084
549	10.4274	12.3149
550	10.0037	12.4214
551	9.6153	12.4991
552	9.2268	12.5767
553	8.8942	12.6279
554	8.5617	12.6791
555	8.2898	12.6814
556	8.0179	12.6837
557	7.8992	12.6400
558	7.7805	12.5963
559	7.6825	12.5526
560	7.5845	12.5088
561	7.5853	12.3330
562	7.5860	12.1572
563	7.7367	11.9591
564	7.8873	11.7609
565	8.1873	11.5581
566	8.4873	11.3553
567	8.9148	11.1367
568	9.3423	10.9181
569	9.8451	10.7000
570	10.3479	10.4819
571	10.8916	10.2805
572	11.4353	10.0791
573	11.9163	9.8902
574	12.3972	9.7014
575	12.6567	9.5126
576	12.9163	9.3237
577	12.8219	9.1348
578	12.7274	8.9460
579	12.1898	8.7776
580	11.6521	8.6093
581	10.8614	8.4531
582	10.0707	8.2968
583	9.0632	8.1406
584	8.0557	7.9844
585	7.1209	7.8121
586	6.1861	7.6399
587	5.3911	7.4333
588	4.5961	7.2268
589	3.9726	6.9069
590	3.3490	6.5871
591	2.8918	6.2552
592	2.4345	5.9233
593	2.1101	5.5866
594	1.7858	5.2500
595	1.5538	4.9273
596	1.3218	4.6047
597	1.1847	4.2859
598	1.0475	3.9671
599	0.8959	3.6902
600	0.7442	3.4133
601	0.6819	3.2907
602	0.6195	3.1680
603	0.5572	3.0453
604	0.4949	2.9227
605	0.4555	2.8001
606	0.4161	2.6775
607	0.3996	2.5571
608	0.3832	2.4367
609	0.3667	2.3164
610	0.3502	2.1962
611	0.3338	2.0971
612	0.3173	1.9980
613	0.3008	1.9015
614	0.2844	1.8051
615	0.2713	1.7566
616	0.2581	1.7081
617	0.2484	1.6595
618	0.2386	1.6110
619	0.2288	1.5624
620	0.2191	1.5139
621	0.2093	1.4771
622	0.1995	1.4403
623	0.1898	1.4070
624	0.1800	1.3737
625	0.1723	1.3403
626	0.1646	1.3070
627	0.1589	1.2775
628	0.1532	1.2481
629	0.1475	1.2227
630	0.1419	1.1974
631	0.1362	1.1720
632	0.1305	1.1467
633	0.1248	1.1234
634	0.1192	1.1002
635	0.1153	1.0853
636	0.1113	1.0703
637	0.1092	1.0553
638	0.1071	1.0404
639	0.1049	1.0254
640	0.1028	1.0105
641	0.1007	0.9956
642	0.0985	0.9807
643	0.0964	0.9657
644	0.0942	0.9508
645	0.0925	0.9365
646	0.0908	0.9221
647	0.0895	0.9096
648	0.0882	0.8971
649	0.0869	0.8846
650	0.0856	0.8721
651	0.0843	0.8596
652	0.0830	0.8471
653	0.0817	0.8346
654	0.0804	0.8221
655	0.0792	0.8096
656	0.0780	0.7971
657	0.0768	0.7846
658	0.0757	0.7721
659	0.0750	0.7613
660	0.0743	0.7504
661	0.0737	0.7403
662	0.0730	0.7303
663	0.0724	0.7203
664	0.0717	0.7102
665	0.0711	0.7002
666	0.0704	0.6902
667	0.0699	0.6801
668	0.0693	0.6701
669	0.0688	0.6601
670	0.0684	0.6500
671	0.0679	0.6400
672	0.0674	0.6300
673	0.0669	0.6205
674	0.0664	0.6111
675	0.0660	0.6026
676	0.0656	0.5940
677	0.0653	0.5855
678	0.0649	0.5770
679	0.0647	0.5685
680	0.0646	0.5600
681	0.0644	0.5515
682	0.0642	0.5429
683	0.0640	0.5344
684	0.0638	0.5259
685	0.0636	0.5174
686	0.0634	0.5089
687	0.0636	0.5004
688	0.0638	0.4919
689	0.0640	0.4845
690	0.0642	0.4772
691	0.0644	0.4712
692	0.0646	0.4652
693	0.0647	0.4592
694	0.0649	0.4533
695	0.0653	0.4473
696	0.0656	0.4413
697	0.0660	0.4353
698	0.0665	0.4293
699	0.0670	0.4233
700	0.0674	0.4173
701	0.0679	0.4111
702	0.0684	0.4049
703	0.0688	0.3987
704	0.0693	0.3925
705	0.0699	0.3863
706	0.0704	0.3801
707	0.0711	0.3742
708	0.0717	0.3683
709	0.0724	0.3633
710	0.0730	0.3583
711	0.0737	0.3532
712	0.0743	0.3482
713	0.0750	0.3432
714	0.0756	0.3382
715	0.0764	0.3332
716	0.0772	0.3282
717	0.0781	0.3232
718	0.0791	0.3182
719	0.0800	0.3133
720	0.0809	0.3083
721	0.0819	0.3036
722	0.0828	0.2989
723	0.0837	0.2941
724	0.0847	0.2894
725	0.0856	0.2847
726	0.0866	0.2799
727	0.0876	0.2740
728	0.0887	0.2681
729	0.0897	0.2622
730	0.0907	0.2563
731	0.0917	0.2563
732	0.0927	0.2563
733	0.0938	0.2563
734	0.0948	0.2563
735	0.0961	0.2563
736	0.0974	0.2562
737	0.0990	0.2561
738	0.1006	0.2559
739	0.1021	0.2577
740	0.1037	0.2595
741	0.1053	0.2648
742	0.1069	0.2701
743	0.1085	0.2755
744	0.1100	0.2808
745	0.1117	0.2876
746	0.1134	0.2944
747	0.1152	0.3022
748	0.1169	0.3101
749	0.1187	0.3184
750	0.1205	0.3268
751	0.1222	0.3396
752	0.1240	0.3524
753	0.1258	0.3555
754	0.1275	0.3585
755	0.1291	0.3607
756	0.1307	0.3629
757	0.1321	0.3629
758	0.1335	0.3629
759	0.1349	0.3615
760	0.1363	0.3601
761	0.1377	0.3555
762	0.1391	0.3508
763	0.1405	0.3451
764	0.1419	0.3394
765	0.1433	0.3337
766	0.1448	0.3280
767	0.1464	0.3223
768	0.1480	0.3166
769	0.1496	0.3108
770	0.1512	0.3051
771	0.1527	0.2993
772	0.1543	0.2936
773	0.1559	0.2878
774	0.1575	0.2821
775	0.1589	0.2763
776	0.1603	0.2706
777	0.1615	0.2649
778	0.1627	0.2593
779	0.1639	0.2547
780	0.1651	0.2501
781	0.1663	0.2455
782	0.1675	0.2409
783	0.1687	0.2364
784	0.1700	0.2318
785	0.1710	0.2272
786	0.1721	0.2226
787	0.1730	0.2185
788	0.1740	0.2144
789	0.1749	0.2108
790	0.1758	0.2072
791	0.1767	0.2036
792	0.1777	0.2000
793	0.1786	0.1963
794	0.1795	0.1927
795	0.1812	0.1897
796	0.1829	0.1867
797	0.1853	0.1843
798	0.1877	0.1819
799	0.1887	0.1795
800	0.1898	0.1771
801	0.1912	0.1751
802	0.1926	0.1730
803	0.1935	0.1722
804	0.1944	0.1714
805	0.1953	0.1706
806	0.1963	0.1698
807	0.1977	0.1690
808	0.1991	0.1683
809	0.2000	0.1675
810	0.2009	0.1668
811	0.2019	0.1662
812	0.2028	0.1655
813	0.2037	0.1649
814	0.2047	0.1643
815	0.2055	0.1637
816	0.2063	0.1631
817	0.2080	0.1625
818	0.2097	0.1619
819	0.2113	0.1616
820	0.2130	0.1613
821	0.2147	0.1613
822	0.2164	0.1613
823	0.2180	0.1613
824	0.2197	0.1613
825	0.2211	0.1613
826	0.2224	0.1612
827	0.2234	0.1612
828	0.2245	0.1612
829	0.2255	0.1612
830	0.2265	0.1612
831	0.2275	0.1612
832	0.2286	0.1611
833	0.2296	0.1611
834	0.2306	0.1611
835	0.2317	0.1611
836	0.2328	0.1611
837	0.2340	0.1611
838	0.2353	0.1610
839	0.2365	0.1610
840	0.2377	0.1610
841	0.2389	0.1610
842	0.2401	0.1610
843	0.2413	0.1609
844	0.2425	0.1609
845	0.2433	0.1609
846	0.2442	0.1609
847	0.2447	0.1608
848	0.2451	0.1608
849	0.2456	0.1608
850	0.2460	0.1608
851	0.2465	0.1607
852	0.2470	0.1607
853	0.2474	0.1607
854	0.2479	0.1607
855	0.2487	0.1606
856	0.2495	0.1606
857	0.2506	0.1608
858	0.2517	0.1610
859	0.2528	0.1613
860	0.2540	0.1615
861	0.2551	0.1617
862	0.2562	0.1619
863	0.2573	0.1621
864	0.2584	0.1623
865	0.2593	0.1626
866	0.2601	0.1628
867	0.2607	0.1630
868	0.2612	0.1632
869	0.2618	0.1637
870	0.2623	0.1641
871	0.2629	0.1646
872	0.2634	0.1651
873	0.2640	0.1656
874	0.2646	0.1661
875	0.2652	0.1665
876	0.2658	0.1670
877	0.2664	0.1675
878	0.2671	0.1680
879	0.2677	0.1685
880	0.2684	0.1689
881	0.2690	0.1693
882	0.2697	0.1697
883	0.2703	0.1701
884	0.2710	0.1705
885	0.2715	0.1709
886	0.2721	0.1713
887	0.2726	0.1717
888	0.2730	0.1721
889	0.2735	0.1725
890	0.2740	0.1729
891	0.2744	0.1734
892	0.2749	0.1738
893	0.2753	0.1742
894	0.2758	0.1746
895	0.2763	0.1750
896	0.2767	0.1755
897	0.2772	0.1759
898	0.2777	0.1763
899	0.2781	0.1767
900	0.2786	0.1772
901	0.2791	0.1775
902	0.2795	0.1779
903	0.2800	0.1782
904	0.2805	0.1785
905	0.2808	0.1787
